"INC NUMBER","OCCURRED ON","OCCURRED TO","UCR CRIME CATEGORY","100 BLOCK ADDR","ZIP","PREMISE TYPE","GRID"
"201500002101405",11/01/2015  00:00,11/01/2015  05:00,"MOTOR VEHICLE THEFT","102XX W MEDLOCK AVE","85307","SINGLE FAMILY HOUSE","BJ04"
"201600000052855",11/01/2015  00:00,01/09/2016  00:00,"MOTOR VEHICLE THEFT","N 43RD AVE & W CACTUS RD","85029","SINGLE FAMILY HOUSE","DA19"
"201500002102327",11/01/2015  00:00,11/01/2015  09:00,"LARCENY-THEFT","51XX N 15TH ST","85014","APARTMENT","BJ30"
"201500002102668",11/01/2015  00:00,11/01/2015  11:50,"MOTOR VEHICLE THEFT","69XX W WOOD ST","85043","SINGLE FAMILY HOUSE","AF12"
"201600000527709",11/01/2015  00:00,03/22/2016  00:36,"LARCENY-THEFT","33XX W CAMELBACK RD","85017","PARKING LOT","BJ21"
"201500002103724",11/01/2015  00:00,11/01/2015  15:21,"DRUG OFFENSE","54XX W INDIAN SCHOOL RD","85031","APARTMENT","BH16"
"201700001722914",11/01/2015  00:00,,"LARCENY-THEFT","279XX N 23RD LN","85085","SINGLE FAMILY HOUSE","FA23"
"201700001603695",11/01/2015  00:00,03/31/2016  00:00,"RAPE","38XX W CAMELBACK RD","85019","HOSPITAL","BI20"
"201600000594484",11/01/2015  00:00,,"RAPE","13XX E ALMERIA RD","85006","SINGLE FAMILY HOUSE","BD30"
"201500002168686",11/01/2015  00:00,11/11/2015  09:30,"LARCENY-THEFT","14XX E HIGHLAND AVE","85014","PARKING LOT","BI30"
"201500002102534",11/01/2015  00:01,11/01/2015  03:55,"BURGLARY","38XX W HOLLY ST","85009","SINGLE FAMILY HOUSE","BD20"
"201500002391368",11/01/2015  00:01,12/16/2015  14:30,"LARCENY-THEFT","43XX E CORTEZ ST","85028","SINGLE FAMILY HOUSE","DA37"
"201600000575804",11/01/2015  00:01,03/28/2016  17:20,"LARCENY-THEFT","46XX W FREMONT RD","85339","SINGLE FAMILY HOUSE","AB18"
"201500002371588",11/01/2015  00:01,11/18/2015  00:01,"LARCENY-THEFT","35XX E PINCHOT AVE","85018","HOSPITAL","BF35"
"201500002334281",11/01/2015  00:01,11/30/2015  00:00,"MOTOR VEHICLE THEFT","17XX W DESERT COVE AVE","85029","PARKING LOT","CJ25"
"201600000223791",11/01/2015  00:01,01/30/2016  23:59,"BURGLARY","40XX E MCDOWELL RD","85008","STOREROOM/SHED (COMMERCIAL)","BD37"
"201600000042041",11/01/2015  00:01,01/07/2016  12:00,"MOTOR VEHICLE THEFT","48XX E DESERT COVE AVE","85254","CONDO / TOWNHOUSE","CJ39"
"201500002326780",11/01/2015  00:01,12/06/2015  09:45,"BURGLARY","6XX W BEVERLY LN","85023","SINGLE FAMILY HOUSE","DG27"
"201500002102467",11/01/2015  00:01,11/01/2015  11:15,"LARCENY-THEFT","65XX N 17TH AVE","85015","VEHICLE","CB25"
"201600000090387",11/01/2015  00:01,12/31/2015  23:59,"LARCENY-THEFT","196XX N 6TH PL","85024","SINGLE FAMILY HOUSE","EA28"
"201500002147335",11/01/2015  00:01,11/07/2015  22:00,"LARCENY-THEFT","110XX N 35TH AVE","85029","VEHICLE","CJ20"
"201600002077992",11/01/2015  00:01,06/01/2016  00:01,"LARCENY-THEFT","25XX W AUGUSTA AVE","85051","PARKING LOT","CE23B"
"201600000623876",11/01/2015  00:01,03/27/2016  08:00,"LARCENY-THEFT","202XX N 6TH DR","85027","SINGLE FAMILY HOUSE","EB27"
"201500002102481",11/01/2015  00:01,,"LARCENY-THEFT","88XX N BLACK CANYON FWY","85051","HOTEL / MOTEL","CG22"
"202300001461803",09/25/2023  15:36,,"AGGRAVATED ASSAULT","50XX S 16TH ST","85040","STREET / ROADWAY / SIDEWALK","AE31"
"202300001461880",09/25/2023  15:45,,"AGGRAVATED ASSAULT","174XX N 29TH AVE","85053","GROUP HOME","DH22"
"202300001461894",09/25/2023  15:48,09/25/2023  15:50,"LARCENY-THEFT","104XX N 31ST AVE","85051","SPECIALTY STORE","CI22"
"202300001477341",09/25/2023  15:55,,"LARCENY-THEFT","3XX W BELL RD","85023","GROCERY / SUPER MARKET","DH27"
"202300001463308",09/25/2023  16:00,09/25/2023  20:00,"MOTOR VEHICLE THEFT","118XX N 25TH PL","85028","APARTMENT","DA33"
"202300001464659",09/25/2023  16:00,09/26/2023  05:00,"LARCENY-THEFT","93XX W INDIAN SCHOOL RD","85037","CONSTRUCTION SITE","BH06"
"202300001466428",09/25/2023  16:00,09/25/2023  16:10,"AGGRAVATED ASSAULT","21XX W NORTHERN AVE","85021","CONVENIENCE MARKET / STORE","CF24"
"202300001465284",09/25/2023  16:00,09/26/2023  05:53,"MOTOR VEHICLE THEFT","13XX W INDIAN SCHOOL RD","85013","APARTMENT","BH26"
"202300001462899",09/25/2023  16:04,,"LARCENY-THEFT","12XX W AMELIA AVE","85013","SINGLE FAMILY HOUSE","BG26"
"202300001462013",09/25/2023  16:14,09/25/2023  16:14,"AGGRAVATED ASSAULT","21XX W MORTEN AVE","85021","STREET / ROADWAY / SIDEWALK","CE24"
"202300001525004",09/25/2023  16:25,10/01/2023  20:53,"LARCENY-THEFT","77XX S 51ST AVE","85339","GAS / SERVICE STATION","IB16"
"202300001462107",09/25/2023  16:26,,"LARCENY-THEFT","32XX E THOMAS RD","85018","CONVENIENCE MARKET / STORE","BF35"
"202300001463089",09/25/2023  16:30,09/25/2023  19:38,"LARCENY-THEFT","122XX N 19TH ST","85022","PARKING LOT","DD31"
"202300001463858",09/25/2023  16:30,09/25/2023  22:59,"LARCENY-THEFT","35XX E BASELINE RD","85042","APARTMENT","IB35"
"202300001462251",09/25/2023  16:52,,"LARCENY-THEFT","42XX W GLENDALE AVE","85019","DRUG STORE","CC19"
"202300001462277",09/25/2023  16:56,,"LARCENY-THEFT","12XX E INDIAN SCHOOL RD","85014","DEPARTMENT / DISCOUNT STORE","BH30"
"202300001464430",09/25/2023  17:00,09/26/2023  04:55,"MOTOR VEHICLE THEFT","26XX W CLAREMONT ST","85017","STREET / ROADWAY / SIDEWALK","CB23B"
"202300001476520",09/25/2023  17:00,09/26/2023  06:00,"BURGLARY","198XX N 3RD AVE","85027","SINGLE FAMILY HOUSE","EA27"
"202300001471787",09/25/2023  17:00,,"LARCENY-THEFT","22XX E BELL RD","85022","DEPARTMENT / DISCOUNT STORE","DG32"
"202300001462303",09/25/2023  17:01,,"BURGLARY","13XX W GLENROSA AVE","85013","SINGLE FAMILY HOUSE","BH26"
"202300001462342",09/25/2023  17:05,09/25/2023  17:09,"DRUG OFFENSE","15XX E SOUTHERN AVE","85040","ALLEY","AD30"
"202300001462431",09/25/2023  17:25,,"LARCENY-THEFT","210XX N TATUM BLVD","85054","DEPARTMENT / DISCOUNT STORE","EC39"
"202300001462539",09/25/2023  17:33,,"LARCENY-THEFT","45XX E THOMAS RD","85008","RETAIL BUSINESS","BE38"
"202300001463108",09/25/2023  17:45,09/25/2023  19:45,"LARCENY-THEFT","19XX E SUNLAND AVE","85040","FENCED RESIDENTIAL YARD","AD31"
"202300001465196",09/25/2023  18:00,09/26/2023  06:00,"LARCENY-THEFT","216XX N 2ND AVE","85027","VEHICLE","EC27"
"202300001462772",09/25/2023  18:15,09/25/2023  18:15,"AGGRAVATED ASSAULT","7XX E GARFIELD ST","85006","STREET / ROADWAY / SIDEWALK","BB29"
"202300001464371",09/25/2023  18:30,09/26/2023  04:00,"BURGLARY","43XX E CAMPO BELLO DR","85032","SINGLE FAMILY HOUSE","DH37"
"202300001462925",09/25/2023  18:30,,"DRUG OFFENSE","17XX W LIBBY ST","85023","STREET / ROADWAY / SIDEWALK","DI25"
"202300001462885",09/25/2023  18:55,,"ARSON","17XX E VIRGINIA AVE","85006",,"BE31"
"202300001464730",09/25/2023  19:00,09/26/2023  06:59,"MOTOR VEHICLE THEFT","88XX S CENTRAL AVE","85041","STREET / ROADWAY / SIDEWALK","IC27"
"202300001463609",09/25/2023  19:00,09/25/2023  22:04,"MOTOR VEHICLE THEFT","174XX N 7TH ST","85022","APARTMENT","DH29"
"202300001509523",09/25/2023  19:00,09/26/2023  07:00,"LARCENY-THEFT","158XX N 7TH DR","85023","DRIVEWAY","DF26"
"202300001464652",09/25/2023  19:00,09/26/2023  06:00,"MOTOR VEHICLE THEFT","35XX E HELENA DR","85032","DRIVEWAY","DH35"
